zone_id,base_context_id,source_dataset,sample_count,context_sample_count,context_cluster_count,sample_count_risk_flag,soil_color_mode,soil_color_dominant_ratio,ph_mean,nitrogen_mean,phosphorus_mean,potassium_mean,zinc_mean,sulfur_mean,soil_moisture_surface_mean,wind_speed_10m_mean,specific_humidity_mean_mean,temperature_mean_mean,temperature_seasonal_range_mean,rainfall_mean_mean,rainfall_total_proxy_mean,cloud_amount_mean,surface_pressure_mean,zone_target
zone_01_02,1,mendeley_8v757rr4st_crop_recommendation_soil_weather,20,236,9,ok,black,0.7333333333333333,6.762666666666666,0.1917666666666666,8.579,385.5928,1.5076666666666665,8.99,0.65,75.69,8.59500000075,13.937083334125,23.563333337,3.28833333325,13.153333333,0.46,74.17,Gandum
zone_01_03,1,mendeley_8v757rr4st_crop_recommendation_soil_weather,58,236,9,ok,brown,0.4038461538461538,5.715769230769231,0.2465365384615384,13.815134615384617,223.3056346153846,3.249769230769231,21.01784615384615,0.6500000000000001,75.69,8.59500000075,13.937083334125,23.563333337,3.28833333325,13.153333333,0.46,74.17,Jelai
zone_01_08,1,mendeley_8v757rr4st_crop_recommendation_soil_weather,21,236,9,ok,brown,0.5714285714285714,5.854285714285714,0.3439380952380952,10.156190476190476,259.32233333333335,3.2325238095238094,9.65952380952381,0.65,75.69,8.59500000075,13.937083334125,23.563333337,3.28833333325,13.153333333,0.46,74.17,Jelai
zone_02_05,2,mendeley_8v757rr4st_crop_recommendation_soil_weather,59,286,11,ok,brown,0.4736842105263157,5.248771929824562,0.1684196742105263,4.776140350877193,296.38438596491227,1.5926315789473684,13.535438596491227,0.6300000000000001,88.31,9.3258333335,17.892500000374998,21.456666667,4.47583333425,17.903333337,59.11,77.15,Teff
zone_06_11,6,mendeley_8v757rr4st_crop_recommendation_soil_weather,24,457,18,ok,black,0.5,6.600454545454546,0.1558045454545454,68.16818181818182,664.5909090909091,2.5413636363636365,8.101818181818182,0.7400000000000001,88.38,9.474999999,16.695000000375,22.246666667,5.37166666575,21.486666663,59.11000000000001,76.54,Teff
zone_06_12,6,mendeley_8v757rr4st_crop_recommendation_soil_weather,50,457,18,ok,black,0.8333333333333334,7.707142857142857,0.0774467218571428,4.877619047619048,391.8095238095238,1.068095238095238,5.9383333333333335,0.74,88.38,9.474999999,16.695000000375,22.246666667,5.37166666575,21.486666663,59.11,76.54,Teff
zone_07_00,7,mendeley_8v757rr4st_crop_recommendation_soil_weather,44,46,2,ok,black,0.45,6.06925,0.23,9.876275,296.303975,1.4260512,13.27945,0.73,3.44,10.0241666665,16.512916666625,23.13666667,5.710833332499999,22.84333333,56.57000000000001,77.03,Gandum
zone_08_00,8,mendeley_8v757rr4st_crop_recommendation_soil_weather,17,17,1,ok,brown,0.4117647058823529,5.629411764705883,0.23,15.788287058823528,324.5754117647059,2.1713532352941174,13.991823529411764,0.73,3.44,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666663,56.57,77.03,Jelai
zone_09_01,9,mendeley_8v757rr4st_crop_recommendation_soil_weather,57,175,7,ok,black,0.4716981132075472,5.667924528301886,0.1314037735849056,4.654905660377358,270.62264150943395,1.388490566037736,10.382264150943396,0.62,67.12,10.025,20.393750000375,24.333333337000003,3.40666666675,13.626666667,57.49,81.40000000000002,Teff
zone_09_04,9,mendeley_8v757rr4st_crop_recommendation_soil_weather,49,175,7,ok,black,0.5813953488372093,6.794651162790698,0.1036395348837209,8.962558139534883,290.3255813953488,1.899767441860465,6.712558139534884,0.62,67.12,10.025,20.393750000375,24.333333337000003,3.406666666749999,13.626666666999997,57.49,81.4,Teff
