species,Longitude,Latitude,label
Potato,68.30970974946614,38.57868461206506,1
Potato,68.77540385114746,37.739242913353614,1
Potato,-114.32154315610376,34.05985634457616,1
Potato,-112.15454545156751,43.601341620281474,1
Potato,-119.03361707593788,46.806996081330446,1
Potato,-112.14421389814711,43.96707979585003,1
Potato,-85.69687034512991,41.83767978084296,1
Potato,-113.82022093515609,42.73824830860136,1
Potato,-67.79124346350184,46.92171195137658,1
Potato,-113.90862088258218,42.51517189284373,1
Potato,-89.46508519577591,44.412166179727805,1
Potato,-118.65183487634472,46.3122606152804,1
Potato,-94.73205474441424,46.74820128446707,1
Potato,-67.83894417256523,46.72439176585192,1
Potato,-112.76355163882216,42.798030914245786,1
Potato,-119.06486259204172,47.20705768352039,1
Potato,-119.62166604812316,46.018914361680025,1
Potato,-111.6802813639526,43.58792304039709,1
Potato,-89.19834931622202,45.13138828017287,1
Potato,-98.48718092715772,42.50395186119061,1
Potato,-111.7750831276587,42.54450646237596,1
Potato,-77.35031373300775,42.50640927804093,1
Potato,-67.83348020653561,46.72557539935715,1
Potato,-94.00527728196764,45.473288963683096,1
Potato,-85.34914339807352,41.86617668254774,1
Potato,-85.12839871324212,43.37666814200277,1
Potato,-119.16020321822968,47.162581754383766,1
Potato,-112.77584426521746,42.78534445480474,1
Potato,-119.68698197958398,47.09321543715127,1
Potato,-119.65904408957962,47.093823921265695,1
Potato,-114.78054526882607,42.742779147502254,1
Potato,-119.49659220470622,47.12976947911756,1
Potato,-112.1592369337982,43.9677810601436,1
Potato,-83.6888193699667,43.56007677792067,1
Potato,-112.97444023350344,42.85069281859863,1
Potato,-113.93166251146906,42.3273206361816,1
Potato,-85.36948514644332,43.48430351499495,1
Potato,-112.22538534028166,43.57990481221614,1
Potato,-97.42049901195784,48.19029723450256,1
Potato,-90.0993769748246,42.017301578404926,1
Potato,-119.22966480303104,46.34717399608601,1
Potato,-119.00925326279402,47.19580785241521,1
Potato,-97.49126483108424,48.26715132356746,1
Potato,-119.567637933734,47.10938894951572,1
Potato,-89.10195990402778,45.15546189801839,1
Potato,-119.01871931662592,46.77333016333846,1
Potato,-67.91469388333954,46.8923052656299,1
Potato,-94.85226549507388,46.01913123679294,1
Potato,-119.34430545924754,46.055876665732335,1
Potato,-68.01887633538261,46.83841700044107,1
Potato,-89.618366161755,44.0506872049297,1
Potato,-115.6842245186264,32.73548812465096,1
Potato,-67.95031826134112,46.92605628561638,1
Potato,-67.84194254284195,46.86977520965716,1
Potato,-106.032723792821,37.76597847049149,1
Potato,-116.61030528592153,43.7390909618031,1
Potato,-119.2370777656944,46.29690225357468,1
Potato,-105.88863791425396,37.78378528001264,1
